Page Name,Page URL,Page Type,Site Domain,Load Time,Performance Grade,Mobile Friendly,CTA Presence,CTA Position,Form Length,Content Clarity (1-5)
Home,https://www.graphura.in/index.html,Informational Pages,Corporate,1.64 s,82.0,Yes,Yes,Top,4,5
About Us,https://www.graphura.in/about.html,Informational Pages,Corporate,394 ms,100.0,Yes,Yes,Middle,0,5
Internship,https://www.graphura.in/internship.html,Informational Pages,Corporate,382 ms,100.0,Yes,Yes,Middle,0,5
Blog,https://www.graphura.in/blog.html,Informational Pages,Corporate,423 ms,100.0,Yes,Yes,Middle,1,5
Portfolio,https://www.graphura.in/portfolio.html,Informational Pages,Corporate,388 ms,100.0,Yes,Yes,Top,0,5
Contact,https://www.graphura.in/contact.html,Informational Pages,Corporate,385 ms,100.0,Yes,Yes,Middle,0,3
Brand Identity Design,https://www.graphura.in/services/brand.html,Service-Specific Landing Pages,Corporate,387 ms,100.0,Yes,Yes,Middle,0,4
Logo Design,https://www.graphura.in/services/logo.html,Service-Specific Landing Pages,Corporate,1.09 s,85.0,Yes,Yes,Middle,0,5
Brand Strategy,This Page Does Not Exist,Service-Specific Landing Pages,Corporate,1.05 s,86.0,Yes,No,None,0,1
Packaging Design,https://www.graphura.in/services/packaging.html,Service-Specific Landing Pages,Corporate,1.07 s,86.0,Yes,Yes,Middle,0,5
Business Card,https://www.graphura.in/services/card.html,Service-Specific Landing Pages,Corporate,1.02 s,85.0,Yes,Yes,Middle,0,5
Brand Voice & Messaging,This Page Does Not Exist,Service-Specific Landing Pages,Corporate,1.05 s,85.0,Yes,No,None,0,1
Flyers,https://www.graphura.in/services/Flyers.html,Service-Specific Landing Pages,Corporate,1.07 s,85.0,Yes,Yes,Middle,0,5
Thumbnail,https://www.graphura.in/services/Thumbnail.html,Service-Specific Landing Pages,Corporate,1.04 s,85.0,Yes,Yes,Middle,0,5
Poster Design,https://www.graphura.in/services/poster.html,Service-Specific Landing Pages,Corporate,1.11 s,85.0,Yes,Yes,Middle,0,5
Content writing,https://www.graphura.in/services/content-writing.html,Service-Specific Landing Pages,Corporate,1.03 s,85.0,Yes,Yes,Middle,0,5
Banner Design,https://www.graphura.in/services/banner.html,Service-Specific Landing Pages,Corporate,1.07 s,85.0,Yes,Yes,Middle,0,5
Social Media Marketing (SMM),https://www.graphura.in/services/social-media-management.html,Service-Specific Landing Pages,Corporate,1.05 s,85.0,Yes,Yes,Middle,0,5
Social Media Optimization (SMO),https://www.graphura.in/services/social-media-optimization.html,Service-Specific Landing Pages,Corporate,1.07 s,85.0,Yes,Yes,Middle,0,5
SEO (Search Engine Optimization),https://www.graphura.in/services/search-engine-optimization.html,Service-Specific Landing Pages,Corporate,1.06 s,85.0,Yes,Yes,Middle,0,5
Google Ads Management,https://www.graphura.in/services/google-ads.html,Service-Specific Landing Pages,Corporate,1.04 s,86.0,Yes,Yes,Middle,0,5
Meta Ads Services,https://www.graphura.in/services/meta-ads.html,Service-Specific Landing Pages,Corporate,1.17 s,86.0,Yes,Yes,Middle,0,5
